"id","active","date_end","name","pricelist_id/id","items_id/id","items_id/base","items_id/price_max_margin","items_id/price_min_margin","items_id/min_quantity","items_id/base_pricelist_id/id","items_id/price_discount","items_id/price_round","items_id/price_surcharge","items_id/product_id/id","items_id/categ_id/id","items_id/product_tmpl_id/id","items_id/name","items_id/sequence","date_start"
"__export__.product_pricelist_version_3","True","","New TT Pricelist Nov 2014","__export__.product_pricelist_7","__export__.product_pricelist_item_3","-1","","","","product.list0","-1.0","","1590.0","__export__.product_product_462","","","SZ4071P1","5",""
"","","","","","__export__.product_pricelist_item_4","-1","","","","product.list0","-1.0","","1090.0","__export__.product_product_454","","","WK3081P1","5",""
