"id","name","categ_id/id","type","list_price","default_code","ean13"
"__export__.product_product_483","รถเข็นเด็ก Mini2 สีแดง-เขียว Pack 4","SL","Stockable Product","5560.0","SL506457P4","8859029950641"
"__export__.product_product_480","รถเข็นเด็ก Mini2 สีเขียว Logo B","SL","Stockable Product","1390.0","SL5064B","8859029950641"
"__export__.product_product_488","รถเข็นเด็ก Maxi สีแดง","SL","Stockable Product","1990.0","SL5077","8859029950818"
"__export__.product_product_489","รถเข็นเด็ก Maxi สีแดง Logo B","SL","Stockable Product","1990.0","SL5077B","8859029950818"
"__export__.product_product_486","รถเข็นเด็ก Maxi สีฟ้า","SL","Stockable Product","1990.0","SL5081","8859029950849"
"__export__.product_product_491","รถเข็นเด็ก Maxi สีฟ้า-แดง Logo B Pack 2","SL","Stockable Product","3980.0","SL508177BP2","8859029950849"
"__export__.product_product_490","รถเข็นเด็ก Maxi สีฟ้า-แดง Pack 2","SL","Stockable Product","3980.0","SL508177P2","8859029950849"
"__export__.product_product_487","รถเข็นเด็ก Maxi สีฟ้า Logo B","SL","Stockable Product","1990.0","SL5081B","8859029950849"
"__export__.product_product_471","เครื่องนึ่งขวดนม Dryer Teflon สีเขียว","SZ","Stockable Product","2790.0","SZ4034","8859029904040"
"__export__.product_product_472","เครื่องนึ่งขวดนม Dryer Teflon สีเขียว Pack 2","SZ","Stockable Product","5580.0","SZ4034P2","8859029904040"
"__export__.product_product_469","เครื่องนึ่งขวดนม Dryer Teflon สีฟ้า","SZ","Stockable Product","2790.0","SZ4041","8859029904033"
"__export__.product_product_470","เครื่องนึ่งขวดนม Dryer Teflon สีฟ้า Pack 2","SZ","Stockable Product","5580.0","SZ4041P2","8859029904033"
"__export__.product_product_464","เครื่องนึ่งขวดนม Stand Teflon สีเขียว ","SZ","Stockable Product","1190.0","SZ4054","8859029904057"
"__export__.product_product_465","เครื่องนึ่งขวดนม Stand Teflon สีเขียว Pack 2","SZ","Stockable Product","2380.0","SZ4054P2","8859029904057"
"__export__.product_product_466","เครื่องนึ่งขวดนม Stand Teflon สีฟ้า ","SZ","Stockable Product","1190.0","SZ4061","8859029904064"
