"External ID","Active","Company","Company/Accepted Users","Company/Account No.","Company/Bank Accounts","Company/Child Companies","Company/City","Company/Company Name","Company/Company Registry","Company/Company Tagline","Company/Country","Company/Currency","Company/Currency","Company/Custom Footer","Company/Email","Company/Expects a Chart of Accounts","Company/Fax","Company/Fed. State","Company/Gain Exchange Rate Account","Company/ID","Company/Logo","Company/Logo Web","Company/Loss Exchange Rate Account","Company/Overdue Payments Message","Company/Paper Format","Company/Parent Company","Company/Partner","Company/Paypal Account","Company/Phone","Company/RML Header","Company/RML Internal Header","Company/RML Internal Header for Landscape Reports","Company/Report Footer","Company/Report Footer","Company/Scheduler Range Days","Company/Security Days","Company/Street","Company/Street2","Company/Tax Calculation Rounding Method","Company/Tax ID","Company/Website","Company/Zip","End Date","ID","Name","Price List","Price List/Active","Price List/Company","Price List/Currency","Price List/ID","Price List/Pricelist Name","Price List/Pricelist Type","Price List/Pricelist Versions","Price List Items","Price List Items/Based on","Price List Items/Company","Price List Items/ID","Price List Items/Max. Price Margin","Price List Items/Min. Price Margin","Price List Items/Min. Quantity","Price List Items/Other Pricelist","Price List Items/Price Discount","Price List Items/Price List Version","Price List Items/Price Rounding","Price List Items/Price Surcharge","Price List Items/Product","Price List Items/Product Category","Price List Items/Product Template","Price List Items/Rule Name","Price List Items/Sequence","Start Date"
"__export__.product_pricelist_version_3","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","New TT Pricelist Nov 2014","__export__.product_pricelist_7","True","","base.THB","7","New TT Pricelist Nov 2014","sale","__export__.product_pricelist_version_3","__export__.product_pricelist_item_3","-1","","3","","","","product.list0","-1.0","__export__.product_pricelist_version_3","","1590.0","__export__.product_product_462","","","SZ4071P1","5",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","__export__.product_pricelist_item_4","-1","","4","","","","product.list0","-1.0","__export__.product_pricelist_version_3","","1090.0","__export__.product_product_454","","","WK3081P1","5",""
